city,state,place,pct_non_white
King City,California,38520,56.411177357948425
Salinas,California,64224,62.627207111429904
Fairfield,California,23182,50.637567009593866
Alpine Village,California,01228,0.0
False Pass,Alaska,24660,83.92857142857143
Atqasuk,Alaska,04500,98.14814814814815
Dry Creek,Alaska,20020,0.0
Unalaska,Alaska,80770,70.76629974597799
Hollis,Alaska,32810,18.134715025906733
Hyder,Alaska,34570,0.0
Kasaan,Alaska,37650,34.72222222222222
Unalakleet,Alaska,80660,83.02687411598303
White Mountain,Alaska,84070,91.66666666666666
Whitestone Logging Camp,Alaska,84200,
Pitkas Point,Alaska,60860,100.0
Sand Point,Alaska,67020,84.18640183346065
Bear Creek,Alaska,05585,16.213921901528018
Clam Gulch,Alaska,15320,2.643171806167399
Dot Lake,Alaska,19720,
Eagle Village,Alaska,20600,54.16666666666667
St. George,Alaska,65800,89.47368421052632
Saxman,Alaska,67570,81.30311614730878
Kupreanof,Alaska,42160,0.0
Nondalton,Alaska,55030,87.27272727272728
Port Alsworth,Alaska,62620,26.119402985074625
Yakutat,Alaska,86490,54.853620955315876
Thorne Bay,Alaska,77140,5.816135084427765
Skwentna,Alaska,70870,0.0
Talkeetna,Alaska,74830,5.820533548908646
Haines,Alaska,31050,19.699409554482017
Gustavus,Alaska,30940,9.691629955947134
Denali Park,Alaska,18805,11.353211009174313
Susitna,Alaska,74340,
Tanaina,Alaska,75077,16.1697247706422
Jenner,California,37274,0.0
Johnstonville,California,37484,6.978798586572443
Junction City,California,37596,12.17008797653959
June Lake,California,37624,2.051282051282055
Kelly Ridge,California,38024,10.280701754385968
Kennedy Meadows,California,38076,
Kenwood,California,38156,19.692737430167597
Big Bend,California,06475,26.515151515151516
Palo Cedro,California,55296,6.649168853893261
Cobb,California,14302,3.5608308605341255
Nuiqsut,Alaska,56320,80.84677419354838
Myrtletown,California,50188,17.3496744542321
Pine Hills,California,57204,25.244444444444447
Weaverville,California,83794,6.459784673844204
Desert Hot Springs,California,18996,30.099702641245408
Friant,California,27014,1.8211920529801362
Sunol,California,77042,13.17647058823529
Union City,California,81204,79.45584968282434
Caruthers,California,11614,36.85033216100039
Riverdale,California,61096,37.1395281095252
Selma,California,70882,19.388044579533936
Desert Palms,California,19022,6.099185788304961
Diablo Grande,California,19155,21.372328458942636
Dobbins,California,19416,6.069364161849711
Dogtown,California,19440,20.734014377601206
Dos Palos Y,California,19654,72.92576419213974
Douglas City,California,19724,24.0
Downieville,California,19794,8.227848101265822
Talmage,California,77784,45.06480558325025
Home Garden,California,34281,35.30571992110454
Guerneville,California,31470,9.034702832070208
Manton,California,45512,22.285714285714285
Rancho Tehama Reserve,California,59604,17.598097502972653
Durham,California,20270,10.85685652246534
Armona,California,02700,44.45200816882233
Buena Park,California,08786,51.57051243196062
San Leandro,California,68084,62.78256039988892
Bowles,California,07750,15.073529411764708
Huron,California,36084,53.91426563598032
Sanger,California,67056,30.374092685650478
Alhambra,California,00884,77.10728082507354
Bradbury,California,07946,45.378151260504204
Blythe,California,07218,48.714554803237796
Woodside town,California,86440,15.644171779141104
Buttonwillow,California,09332,10.464310464310467
Banning,California,03820,32.99433573635427
Calimesa,California,09864,20.036305877013838
Home Gardens,California,34302,38.10581749362297
Brawley,California,08058,17.399140972541804
El Centro,California,21782,58.16648864850124
Holtville,California,34246,26.627853531484604
Imperial,California,36280,21.015240059585196
Lucerne,California,44406,22.755524861878452
North Lakeport,California,51990,21.515965383467616
Lake of the Pines,California,39690,5.529313698249516
Truckee town,California,80588,8.72890615515357
Dillon Beach,California,19262,17.716535433070867
Romoland,California,62756,48.14814814814815
Indio,California,36448,43.0104281930054
Murrieta,California,50076,34.549012316165076
Thousand Palms,California,78596,22.357962908448638
Calexico,California,09710,18.004305812847342
